,Module,Field Name,API Name,Data Type
0,Loan Accounts,A/c Open Date  ,  A_c_Open_Date    ,Date
1,Loan Accounts,Account Close Date  ,  Account_Close_Date    ,DateTime
2,Loan Accounts,Account Close Flag  ,  Account_Close_Flag    ,Single Line
3,Loan Accounts,Account Name  ,  Account_Name    ,Single Line
4,Loan Accounts,Account Number  ,  Name     Save Cancel  Please exercise caution while changing the name as it may affect the existing integrations   ,Single Line
5,Loan Accounts,Account Short Name  ,  Account_Short_Name    ,Single Line
6,Loan Accounts,Account Status  ,  Account_Status    ,Single Line
7,Loan Accounts,ACCT_POA_AS_REC_TYPE  ,  ACCT_POA_AS_REC_TYPE    ,Single Line
8,Loan Accounts,ACID  ,  ACID    ,Single Line (Unique)
9,Loan Accounts,Amount Recovered  ,  Amount_Recovered    ,Decimal
10,Loan Accounts,Asset Classification  ,  Asset_Classification    ,Single Line
11,Loan Accounts,Average Balance  ,  Average_Balance    ,Currency
12,Loan Accounts,Branch Name  ,  Branch_Sol_ID    ,Lookup
13,Loan Accounts,Branch SOL ID  ,  Branch_Name    ,Single Line
14,Loan Accounts,Charge Overdue  ,  Charge_Overdue    ,Decimal
15,Loan Accounts,Cheque Allowed  ,  Cheque_Allowed    ,Single Line
16,Loan Accounts,Cheque Availed  ,  Cheque_Availed    ,Boolean
17,Loan Accounts,Client Sector  ,  Client_Sector    ,Single Line
18,Loan Accounts,Created By  ,  Created_By     Save Cancel  Please exercise caution while changing the name as it may affect the existing integrations   ,Single Line
19,Loan Accounts,Critical Amount  ,  Critical_Amount    ,Currency
20,Loan Accounts,Currency Code  ,  Currency_Code    ,Single Line
21,Loan Accounts,Customer ID  ,  Customer_ID    ,Single Line
22,Loan Accounts,Customer Name  ,  Customer_Name    ,Lookup
23,Loan Accounts,Date of NPA  ,  Date_of_NPA_History    ,Single Line
24,Loan Accounts,Date of NPA (Present)  ,  Date_of_NPA    ,Single Line
25,Loan Accounts,DEAF Flag  ,  DEAF_Flag    ,Pick List
26,Loan Accounts,DSA Master  ,  DSA_Master    ,Lookup
27,Loan Accounts,Email  ,  Email     Save Cancel  Please exercise caution while changing the name as it may affect the existing integrations   ,Email
28,Loan Accounts,Email Opt Out  ,  Email_Opt_Out     Save Cancel  Please exercise caution while changing the name as it may affect the existing integrations   ,Boolean
29,Loan Accounts,EMI Amount  ,  EMI_Amount    ,Currency
30,Loan Accounts,EMI Start Date  ,  EMI_Start_Date    ,Date
31,Loan Accounts,Emp Flag  ,  Emp_Flag    ,Single Line
